FUND NAME,FINANCIAL TYPE,INSTRUMENT IDENTIFIER,YEAR,MONTH,PRICE BREAK
Virtous,Equities,ABBV,2022,10,-14.211999999999989
Wallington,Equities,ABBV,2022,11,0.0
Virtous,Equities,ABBV,2022,11,0.0
Wallington,Equities,ABBV,2022,12,0.0
Virtous,Equities,ABBV,2022,12,0.0
Leeder,Equities,ABC,2023,1,0.0
Trustmind,Equities,ABC,2023,1,0.0
Whitestone,Equities,ABC,2023,1,0.0
Gohen,Equities,ABC,2023,1,0.0
Leeder,Equities,ABC,2023,2,0.0
Trustmind,Equities,ABC,2023,2,0.0
Whitestone,Equities,ABC,2023,2,0.0
Gohen,Equities,ABC,2023,2,0.0
Leeder,Equities,ABC,2023,3,0.0
Trustmind,Equities,ABC,2023,3,0.0
Whitestone,Equities,ABC,2023,3,0.0
Gohen,Equities,ABC,2023,3,0.0
Leeder,Equities,ABC,2023,4,0.0
Trustmind,Equities,ABC,2023,4,0.0
Whitestone,Equities,ABC,2023,4,0.0
Gohen,Equities,ABC,2023,4,0.0
Leeder,Equities,ABC,2023,5,0.0
Gohen,Equities,ABC,2023,5,0.0
Whitestone,Equities,ABC,2023,5,0.0
Trustmind,Equities,ABC,2023,5,0.0
Leeder,Equities,ABC,2023,6,0.0
Trustmind,Equities,ABC,2023,6,0.0
Whitestone,Equities,ABC,2023,6,0.0
Gohen,Equities,ABC,2023,6,0.0
Leeder,Equities,ABC,2023,7,0.0
Trustmind,Equities,ABC,2023,7,0.0
Whitestone,Equities,ABC,2023,7,0.0
Gohen,Equities,ABC,2023,7,0.0
Leeder,Equities,ABC,2023,8,0.0
Trustmind,Equities,ABC,2023,8,0.0
Whitestone,Equities,ABC,2023,8,0.0
Gohen,Equities,ABC,2023,8,0.0
Leeder,Equities,ABC,2022,9,0.0
Trustmind,Equities,ABC,2022,9,0.0
Whitestone,Equities,ABC,2022,9,0.0
Gohen,Equities,ABC,2022,9,0.0
Leeder,Equities,ABC,2022,10,-15.539999999999992
Trustmind,Equities,ABC,2022,10,-15.539999999999992
Whitestone,Equities,ABC,2022,10,-15.539999999999992
Gohen,Equities,ABC,2022,10,-15.539999999999992
Leeder,Equities,ABC,2022,11,0.0
Trustmind,Equities,ABC,2022,11,0.0
Whitestone,Equities,ABC,2022,11,0.0
Gohen,Equities,ABC,2022,11,0.0
Leeder,Equities,ABC,2022,12,0.0
Trustmind,Equities,ABC,2022,12,0.0
Whitestone,Equities,ABC,2022,12,0.0
Gohen,Equities,ABC,2022,12,0.0
Catalysm,Equities,ACGL,2023,1,0.0
Applebead,Equities,ACGL,2023,1,0.0
Catalysm,Equities,ACGL,2023,2,0.0
Applebead,Equities,ACGL,2023,2,0.0
Catalysm,Equities,ACGL,2023,3,0.0
Applebead,Equities,ACGL,2023,3,0.0
Catalysm,Equities,ACGL,2023,4,0.0
Applebead,Equities,ACGL,2023,4,0.0
Catalysm,Equities,ACGL,2023,5,0.0
Applebead,Equities,ACGL,2023,5,0.0
Catalysm,Equities,ACGL,2023,6,0.0
Applebead,Equities,ACGL,2023,6,0.0
Catalysm,Equities,ACGL,2023,7,0.0
Applebead,Equities,ACGL,2023,7,0.0
Catalysm,Equities,ACGL,2023,8,0.0
Applebead,Equities,ACGL,2023,8,0.0
Catalysm,Equities,ACGL,2022,9,0.0
Applebead,Equities,ACGL,2022,9,0.0
Catalysm,Equities,ACGL,2022,10,-5.75
Applebead,Equities,ACGL,2022,10,-5.75
Catalysm,Equities,ACGL,2022,11,0.0
Applebead,Equities,ACGL,2022,11,0.0
Catalysm,Equities,ACGL,2022,12,0.0
Applebead,Equities,ACGL,2022,12,0.0
Belaware,Equities,ACN,2023,1,0.0
Catalysm,Equities,ACN,2023,1,0.0
Belaware,Equities,ACN,2023,2,0.0
Catalysm,Equities,ACN,2023,2,0.0
Belaware,Equities,ACN,2023,3,0.0
Catalysm,Equities,ACN,2023,3,0.0
Belaware,Equities,ACN,2023,4,0.0
Catalysm,Equities,ACN,2023,4,0.0
Belaware,Equities,ACN,2023,5,0.0
Catalysm,Equities,ACN,2023,5,0.0
Belaware,Equities,ACN,2023,6,0.0
Catalysm,Equities,ACN,2023,6,0.0
Belaware,Equities,ACN,2023,7,0.0
Catalysm,Equities,ACN,2023,7,0.0
Belaware,Equities,ACN,2023,8,0.0
Catalysm,Equities,ACN,2023,8,0.0
Belaware,Equities,ACN,2022,9,0.0
Catalysm,Equities,ACN,2022,9,0.0
Belaware,Equities,ACN,2022,10,-28.062000000000012
Catalysm,Equities,ACN,2022,10,-28.062000000000012
Belaware,Equities,ACN,2022,11,0.0
Catalysm,Equities,ACN,2022,11,0.0
Belaware,Equities,ACN,2022,12,0.0
Catalysm,Equities,ACN,2022,12,0.0
Gohen,Equities,ADBE,2023,1,0.0
Gohen,Equities,ADBE,2023,2,0.0
Gohen,Equities,ADBE,2023,3,0.0
Gohen,Equities,ADBE,2023,4,0.0
Gohen,Equities,ADBE,2023,5,0.0
Gohen,Equities,ADBE,2023,6,0.0
Gohen,Equities,ADBE,2023,7,0.0
Gohen,Equities,ADBE,2023,8,0.0
Gohen,Equities,ADBE,2022,9,0.0
Gohen,Equities,ADBE,2022,10,-31.850000000000023
Gohen,Equities,ADBE,2022,11,0.0
Gohen,Equities,ADBE,2022,12,0.0
Wallington,Equities,ADI,2023,1,0.0
Virtous,Equities,ADI,2023,1,0.0
Wallington,Equities,ADI,2023,2,0.0
Virtous,Equities,ADI,2023,2,0.0
Wallington,Equities,ADI,2023,3,0.0
Virtous,Equities,ADI,2023,3,0.0
Wallington,Equities,ADI,2023,4,0.0
Virtous,Equities,ADI,2023,4,0.0
Wallington,Equities,ADI,2023,5,0.0
Virtous,Equities,ADI,2023,5,0.0
Wallington,Equities,ADI,2023,6,0.0
Virtous,Equities,ADI,2023,6,0.0
Wallington,Equities,ADI,2023,7,0.0
Virtous,Equities,ADI,2023,7,0.0
Wallington,Equities,ADI,2023,8,0.0
Virtous,Equities,ADI,2023,8,0.0
Wallington,Equities,ADI,2022,9,0.0
Virtous,Equities,ADI,2022,9,0.0
Wallington,Equities,ADI,2022,10,-14.066000000000003
Virtous,Equities,ADI,2022,10,-14.066000000000003
Wallington,Equities,ADI,2022,11,0.0
Virtous,Equities,ADI,2022,11,0.0
Wallington,Equities,ADI,2022,12,0.0
Virtous,Equities,ADI,2022,12,0.0
Whitestone,Equities,ADM,2023,1,0.0
Whitestone,Equities,ADM,2023,2,0.0
Whitestone,Equities,ADM,2023,3,0.0
Whitestone,Equities,ADM,2023,4,0.0
Whitestone,Equities,ADM,2023,5,0.0
Whitestone,Equities,ADM,2023,6,0.0
Whitestone,Equities,ADM,2023,7,0.0
Whitestone,Equities,ADM,2023,8,0.0
Whitestone,Equities,ADM,2022,9,0.0
Whitestone,Equities,ADM,2022,10,-9.497
Whitestone,Equities,ADM,2022,11,0.0
Whitestone,Equities,ADM,2022,12,0.0
Belaware,Equities,ADP,2023,1,0.0
Belaware,Equities,ADP,2023,2,0.0
Belaware,Equities,ADP,2023,3,0.0
Belaware,Equities,ADP,2023,4,0.0
Belaware,Equities,ADP,2023,5,0.0
Belaware,Equities,ADP,2023,6,0.0
Belaware,Equities,ADP,2023,7,0.0
Belaware,Equities,ADP,2023,8,0.0
Belaware,Equities,ADP,2022,9,0.0
Belaware,Equities,ADP,2022,10,-23.779999999999973
Belaware,Equities,ADP,2022,11,0.0
Belaware,Equities,ADP,2022,12,0.0
Catalysm,Equities,ADSK,2023,1,0.0
Trustmind,Equities,ADSK,2023,1,0.0
Virtous,Equities,ADSK,2023,1,0.0
Catalysm,Equities,ADSK,2023,2,0.0
Trustmind,Equities,ADSK,2023,2,0.0
Virtous,Equities,ADSK,2023,2,0.0
Catalysm,Equities,ADSK,2023,3,0.0
Trustmind,Equities,ADSK,2023,3,0.0
Virtous,Equities,ADSK,2023,3,0.0
Catalysm,Equities,ADSK,2023,4,0.0
Trustmind,Equities,ADSK,2023,4,0.0
Virtous,Equities,ADSK,2023,4,0.0
Catalysm,Equities,ADSK,2023,5,0.0
Trustmind,Equities,ADSK,2023,5,0.0
Virtous,Equities,ADSK,2023,5,0.0
Catalysm,Equities,ADSK,2023,6,0.0
Trustmind,Equities,ADSK,2023,6,0.0
Virtous,Equities,ADSK,2023,6,0.0
Catalysm,Equities,ADSK,2023,7,0.0
Trustmind,Equities,ADSK,2023,7,0.0
Virtous,Equities,ADSK,2023,7,0.0
Catalysm,Equities,ADSK,2023,8,0.0
Trustmind,Equities,ADSK,2023,8,0.0
Virtous,Equities,ADSK,2023,8,0.0
Catalysm,Equities,ADSK,2022,9,0.0
Trustmind,Equities,ADSK,2022,9,0.0
Virtous,Equities,ADSK,2022,9,0.0
Catalysm,Equities,ADSK,2022,10,-21.42999999999998
Trustmind,Equities,ADSK,2022,10,-21.42999999999998
Virtous,Equities,ADSK,2022,10,-21.42999999999998
Catalysm,Equities,ADSK,2022,11,0.0
Trustmind,Equities,ADSK,2022,11,0.0
Virtous,Equities,ADSK,2022,11,0.0
Catalysm,Equities,ADSK,2022,12,0.0
Trustmind,Equities,ADSK,2022,12,0.0
Virtous,Equities,ADSK,2022,12,0.0
Magnum,Equities,AEP,2023,1,0.0
Magnum,Equities,AEP,2023,2,0.0
Magnum,Equities,AEP,2023,3,0.0
Magnum,Equities,AEP,2023,4,0.0
Magnum,Equities,AEP,2023,5,0.0
Magnum,Equities,AEP,2023,6,0.0
Magnum,Equities,AEP,2023,7,0.0
Magnum,Equities,AEP,2023,8,0.0
Magnum,Equities,AEP,2022,9,0.0
Magnum,Equities,AEP,2022,10,-8.46499999999999
Magnum,Equities,AEP,2022,11,0.0
Magnum,Equities,AEP,2022,12,0.0
Virtous,Equities,AES,2023,1,0.0
Virtous,Equities,AES,2023,2,0.0
Virtous,Equities,AES,2023,3,0.0
Virtous,Equities,AES,2023,4,0.0
Virtous,Equities,AES,2023,5,0.0
Virtous,Equities,AES,2023,6,0.0
Virtous,Equities,AES,2023,7,0.0
Virtous,Equities,AES,2023,8,0.0
Virtous,Equities,AES,2022,9,0.0
Virtous,Equities,AES,2022,10,-2.5619999999999976
Virtous,Equities,AES,2022,11,0.0
Virtous,Equities,AES,2022,12,0.0
Magnum,Equities,AJG,2023,1,0.0
Gohen,Equities,AJG,2023,1,0.0
Magnum,Equities,AJG,2023,2,0.0
Gohen,Equities,AJG,2023,2,0.0
Magnum,Equities,AJG,2023,3,0.0
Gohen,Equities,AJG,2023,3,0.0
Magnum,Equities,AJG,2023,4,0.0
Gohen,Equities,AJG,2023,4,0.0
Magnum,Equities,AJG,2023,5,0.0
Gohen,Equities,AJG,2023,5,0.0
Magnum,Equities,AJG,2023,6,0.0
Gohen,Equities,AJG,2023,6,0.0
Magnum,Equities,AJG,2023,7,0.0
Gohen,Equities,AJG,2023,7,0.0
Magnum,Equities,AJG,2023,8,0.0
Gohen,Equities,AJG,2023,8,0.0
Magnum,Equities,AJG,2022,9,0.0
Gohen,Equities,AJG,2022,9,0.0
Magnum,Equities,AJG,2022,10,-18.554000000000002
Gohen,Equities,AJG,2022,10,-18.554000000000002
Magnum,Equities,AJG,2022,11,0.0
Gohen,Equities,AJG,2022,11,0.0
Magnum,Equities,AJG,2022,12,0.0
Gohen,Equities,AJG,2022,12,0.0
Trustmind,Equities,AKAM,2023,1,0.0
Trustmind,Equities,AKAM,2023,2,0.0
Trustmind,Equities,AKAM,2023,3,0.0
Trustmind,Equities,AKAM,2023,4,0.0
Trustmind,Equities,AKAM,2023,5,0.0
Trustmind,Equities,AKAM,2023,6,0.0
Trustmind,Equities,AKAM,2023,7,0.0
Trustmind,Equities,AKAM,2023,8,0.0
Trustmind,Equities,AKAM,2022,9,0.0
Trustmind,Equities,AKAM,2022,10,-8.832999999999998
Trustmind,Equities,AKAM,2022,11,0.0
Trustmind,Equities,AKAM,2022,12,0.0
Trustmind,Equities,ALB,2023,1,0.0
Trustmind,Equities,ALB,2023,2,0.0
Trustmind,Equities,ALB,2023,3,0.0
Trustmind,Equities,ALB,2023,4,0.0
Trustmind,Equities,ALB,2023,5,0.0
Trustmind,Equities,ALB,2023,6,0.0
Trustmind,Equities,ALB,2023,7,0.0
Trustmind,Equities,ALB,2023,8,0.0
Trustmind,Equities,ALB,2022,9,0.0
Trustmind,Equities,ALB,2022,10,-27.84099999999995
Trustmind,Equities,ALB,2022,11,0.0
Trustmind,Equities,ALB,2022,12,0.0
Catalysm,Equities,ALGN,2023,1,0.0
Gohen,Equities,ALGN,2023,1,0.0
Catalysm,Equities,ALGN,2023,2,0.0
Gohen,Equities,ALGN,2023,2,0.0
Catalysm,Equities,ALGN,2023,3,0.0
Gohen,Equities,ALGN,2023,3,0.0
Catalysm,Equities,ALGN,2023,4,0.0
Gohen,Equities,ALGN,2023,4,0.0
Catalysm,Equities,ALGN,2023,5,0.0
Gohen,Equities,ALGN,2023,5,0.0
Catalysm,Equities,ALGN,2023,6,0.0
Gohen,Equities,ALGN,2023,6,0.0
Catalysm,Equities,ALGN,2023,7,0.0
Gohen,Equities,ALGN,2023,7,0.0
Catalysm,Equities,ALGN,2023,8,0.0
Gohen,Equities,ALGN,2023,8,0.0
Catalysm,Equities,ALGN,2022,9,0.0
Gohen,Equities,ALGN,2022,9,0.0
Catalysm,Equities,ALGN,2022,10,-19.42999999999998
Gohen,Equities,ALGN,2022,10,-19.42999999999998
Catalysm,Equities,ALGN,2022,11,0.0
Gohen,Equities,ALGN,2022,11,0.0
Catalysm,Equities,ALGN,2022,12,0.0
Gohen,Equities,ALGN,2022,12,0.0
Belaware,Equities,ALK,2023,1,0.0
Belaware,Equities,ALK,2023,2,0.0
Belaware,Equities,ALK,2023,3,0.0
Belaware,Equities,ALK,2023,4,0.0
Belaware,Equities,ALK,2023,5,0.0
Belaware,Equities,ALK,2023,6,0.0
Belaware,Equities,ALK,2023,7,0.0
Belaware,Equities,ALK,2023,8,0.0
Belaware,Equities,ALK,2022,9,0.0
Belaware,Equities,ALK,2022,10,-4.445999999999998
Belaware,Equities,ALK,2022,11,0.0
Belaware,Equities,ALK,2022,12,0.0
Leeder,Equities,ALL,2023,1,0.0
Trustmind,Equities,ALL,2023,1,0.0
Whitestone,Equities,ALL,2023,1,0.0
Virtous,Equities,ALL,2023,1,0.0
Leeder,Equities,ALL,2023,2,0.0
Trustmind,Equities,ALL,2023,2,0.0
Whitestone,Equities,ALL,2023,2,0.0
Virtous,Equities,ALL,2023,2,0.0
Leeder,Equities,ALL,2023,3,0.0
Trustmind,Equities,ALL,2023,3,0.0
Whitestone,Equities,ALL,2023,3,0.0
Virtous,Equities,ALL,2023,3,0.0
Leeder,Equities,ALL,2023,4,0.0
Trustmind,Equities,ALL,2023,4,0.0
Whitestone,Equities,ALL,2023,4,0.0
Virtous,Equities,ALL,2023,4,0.0
Leeder,Equities,ALL,2023,5,0.0
Whitestone,Equities,ALL,2023,5,0.0
Trustmind,Equities,ALL,2023,5,0.0
Virtous,Equities,ALL,2023,5,0.0
Leeder,Equities,ALL,2023,6,0.0
Trustmind,Equities,ALL,2023,6,0.0
Whitestone,Equities,ALL,2023,6,0.0
Virtous,Equities,ALL,2023,6,0.0
Leeder,Equities,ALL,2023,7,0.0
Trustmind,Equities,ALL,2023,7,0.0
Whitestone,Equities,ALL,2023,7,0.0
Virtous,Equities,ALL,2023,7,0.0
Leeder,Equities,ALL,2023,8,0.0
Trustmind,Equities,ALL,2023,8,0.0
Whitestone,Equities,ALL,2023,8,0.0
Virtous,Equities,ALL,2023,8,0.0
Leeder,Equities,ALL,2022,9,0.0
Trustmind,Equities,ALL,2022,9,0.0
Whitestone,Equities,ALL,2022,9,0.0
Virtous,Equities,ALL,2022,9,0.0
Leeder,Equities,ALL,2022,10,-12.357
Trustmind,Equities,ALL,2022,10,-12.357
Whitestone,Equities,ALL,2022,10,-12.357
Virtous,Equities,ALL,2022,10,-12.357
Leeder,Equities,ALL,2022,11,0.0
Trustmind,Equities,ALL,2022,11,0.0
Whitestone,Equities,ALL,2022,11,0.0
Virtous,Equities,ALL,2022,11,0.0
Leeder,Equities,ALL,2022,12,0.0
Trustmind,Equities,ALL,2022,12,0.0
Whitestone,Equities,ALL,2022,12,0.0
Virtous,Equities,ALL,2022,12,0.0
Wallington,Equities,ALLE,2023,1,0.0
Wallington,Equities,ALLE,2023,2,0.0
Wallington,Equities,ALLE,2023,3,0.0
Wallington,Equities,ALLE,2023,4,0.0
Wallington,Equities,ALLE,2023,5,0.0
Wallington,Equities,ALLE,2023,6,0.0
Wallington,Equities,ALLE,2023,7,0.0
Wallington,Equities,ALLE,2023,8,0.0
Wallington,Equities,ALLE,2022,9,0.0
Wallington,Equities,ALLE,2022,10,-10.354
Wallington,Equities,ALLE,2022,11,0.0
Wallington,Equities,ALLE,2022,12,0.0
Whitestone,Equities,AMD,2023,1,0.0
Whitestone,Equities,AMD,2023,2,0.0
Whitestone,Equities,AMD,2023,3,0.0
Whitestone,Equities,AMD,2023,4,0.0
Whitestone,Equities,AMD,2023,5,0.0
Whitestone,Equities,AMD,2023,6,0.0
Whitestone,Equities,AMD,2023,7,0.0
Whitestone,Equities,AMD,2023,8,0.0
Whitestone,Equities,AMD,2022,9,0.0
Whitestone,Equities,AMD,2022,10,-6.006
Whitestone,Equities,AMD,2022,11,0.0
Whitestone,Equities,AMD,2022,12,0.0
Magnum,Equities,AMP,2023,1,0.0
Magnum,Equities,AMP,2023,2,0.0
Magnum,Equities,AMP,2023,3,0.0
Magnum,Equities,AMP,2023,4,0.0
Magnum,Equities,AMP,2023,5,0.0
Magnum,Equities,AMP,2023,6,0.0
Magnum,Equities,AMP,2023,7,0.0
Magnum,Equities,AMP,2023,8,0.0
Magnum,Equities,AMP,2022,9,0.0
Magnum,Equities,AMP,2022,10,-30.413999999999987
Magnum,Equities,AMP,2022,11,0.0
Magnum,Equities,AMP,2022,12,0.0
Whitestone,Equities,AMT,2023,1,0.0
Gohen,Equities,AMT,2023,1,0.0
Whitestone,Equities,AMT,2023,2,0.0
Gohen,Equities,AMT,2023,2,0.0
Whitestone,Equities,AMT,2023,3,0.0
Gohen,Equities,AMT,2023,3,0.0
Whitestone,Equities,AMT,2023,4,0.0
Gohen,Equities,AMT,2023,4,0.0
Gohen,Equities,AMT,2023,5,0.0
Whitestone,Equities,AMT,2023,5,0.0
Whitestone,Equities,AMT,2023,6,0.0
Gohen,Equities,AMT,2023,6,0.0
Whitestone,Equities,AMT,2023,7,0.0
Gohen,Equities,AMT,2023,7,0.0
Whitestone,Equities,AMT,2023,8,0.0
Gohen,Equities,AMT,2023,8,0.0
Whitestone,Equities,AMT,2022,9,0.0
Gohen,Equities,AMT,2022,9,0.0
Whitestone,Equities,AMT,2022,10,-20.248999999999995
Gohen,Equities,AMT,2022,10,-20.248999999999995
Whitestone,Equities,AMT,2022,11,0.0
Gohen,Equities,AMT,2022,11,0.0
Whitestone,Equities,AMT,2022,12,0.0
Gohen,Equities,AMT,2022,12,0.0
Catalysm,Equities,ANET,2023,1,0.0
Wallington,Equities,ANET,2023,1,0.0
Catalysm,Equities,ANET,2023,2,0.0
Wallington,Equities,ANET,2023,2,0.0
Catalysm,Equities,ANET,2023,3,0.0
Wallington,Equities,ANET,2023,3,0.0
Catalysm,Equities,ANET,2023,4,0.0
Wallington,Equities,ANET,2023,4,0.0
Catalysm,Equities,ANET,2023,5,0.0
Wallington,Equities,ANET,2023,5,0.0
Catalysm,Equities,ANET,2023,6,0.0
Wallington,Equities,ANET,2023,6,0.0
Catalysm,Equities,ANET,2023,7,0.0
Wallington,Equities,ANET,2023,7,0.0
Catalysm,Equities,ANET,2023,8,0.0
Wallington,Equities,ANET,2023,8,0.0
Catalysm,Equities,ANET,2022,9,0.0
Wallington,Equities,ANET,2022,9,0.0
Catalysm,Equities,ANET,2022,10,-12.085999999999999
Wallington,Equities,ANET,2022,10,-12.085999999999999
Catalysm,Equities,ANET,2022,11,0.0
Wallington,Equities,ANET,2022,11,0.0
Catalysm,Equities,ANET,2022,12,0.0
Wallington,Equities,ANET,2022,12,0.0
Magnum,Equities,ANSS,2023,1,0.0
Applebead,Equities,ANSS,2023,1,0.0
Magnum,Equities,ANSS,2023,2,0.0
Applebead,Equities,ANSS,2023,2,0.0
Magnum,Equities,ANSS,2023,3,0.0
Applebead,Equities,ANSS,2023,3,0.0
Magnum,Equities,ANSS,2023,4,0.0
Applebead,Equities,ANSS,2023,4,0.0
Magnum,Equities,ANSS,2023,5,0.0
Applebead,Equities,ANSS,2023,5,0.0
Magnum,Equities,ANSS,2023,6,0.0
Applebead,Equities,ANSS,2023,6,0.0
Magnum,Equities,ANSS,2023,7,0.0
Applebead,Equities,ANSS,2023,7,0.0
Magnum,Equities,ANSS,2023,8,0.0
Applebead,Equities,ANSS,2023,8,0.0
Magnum,Equities,ANSS,2022,9,0.0
Applebead,Equities,ANSS,2022,9,0.0
Magnum,Equities,ANSS,2022,10,-22.116000000000014
Applebead,Equities,ANSS,2022,10,-22.116000000000014
Magnum,Equities,ANSS,2022,11,0.0
Applebead,Equities,ANSS,2022,11,0.0
Magnum,Equities,ANSS,2022,12,0.0
Applebead,Equities,ANSS,2022,12,0.0
Belaware,Equities,AON,2023,1,0.0
Trustmind,Equities,AON,2023,1,0.0
Virtous,Equities,AON,2023,1,0.0
Belaware,Equities,AON,2023,2,0.0
Trustmind,Equities,AON,2023,2,0.0
Virtous,Equities,AON,2023,2,0.0
Belaware,Equities,AON,2023,3,0.0
Trustmind,Equities,AON,2023,3,0.0
Virtous,Equities,AON,2023,3,0.0
Belaware,Equities,AON,2023,4,0.0
Trustmind,Equities,AON,2023,4,0.0
Virtous,Equities,AON,2023,4,0.0
Belaware,Equities,AON,2023,5,0.0
Trustmind,Equities,AON,2023,5,0.0
Virtous,Equities,AON,2023,5,0.0
Belaware,Equities,AON,2023,6,0.0
Trustmind,Equities,AON,2023,6,0.0
Virtous,Equities,AON,2023,6,0.0
Belaware,Equities,AON,2023,7,0.0
Trustmind,Equities,AON,2023,7,0.0
Virtous,Equities,AON,2023,7,0.0
Belaware,Equities,AON,2023,8,0.0
Trustmind,Equities,AON,2023,8,0.0
Virtous,Equities,AON,2023,8,0.0
Belaware,Equities,AON,2022,9,0.0
Trustmind,Equities,AON,2022,9,0.0
Virtous,Equities,AON,2022,9,0.0
Belaware,Equities,AON,2022,10,-27.994000000000028
Trustmind,Equities,AON,2022,10,-27.994000000000028
Virtous,Equities,AON,2022,10,-27.994000000000028
Belaware,Equities,AON,2022,11,0.0
Trustmind,Equities,AON,2022,11,0.0
Virtous,Equities,AON,2022,11,0.0
Belaware,Equities,AON,2022,12,0.0
Trustmind,Equities,AON,2022,12,0.0
Virtous,Equities,AON,2022,12,0.0
Belaware,Equities,AOS,2023,1,0.0
Whitestone,Equities,AOS,2023,1,0.0
Gohen,Equities,AOS,2023,1,0.0
Belaware,Equities,AOS,2023,2,0.0
Whitestone,Equities,AOS,2023,2,0.0
Gohen,Equities,AOS,2023,2,0.0
Belaware,Equities,AOS,2023,3,0.0
Whitestone,Equities,AOS,2023,3,0.0
Gohen,Equities,AOS,2023,3,0.0
Belaware,Equities,AOS,2023,4,0.0
Whitestone,Equities,AOS,2023,4,0.0
Gohen,Equities,AOS,2023,4,0.0
Belaware,Equities,AOS,2023,5,0.0
Gohen,Equities,AOS,2023,5,0.0
Whitestone,Equities,AOS,2023,5,0.0
Belaware,Equities,AOS,2023,6,0.0
Whitestone,Equities,AOS,2023,6,0.0
Gohen,Equities,AOS,2023,6,0.0
Belaware,Equities,AOS,2023,7,0.0
Whitestone,Equities,AOS,2023,7,0.0
Gohen,Equities,AOS,2023,7,0.0
